year,time_hour,dep_delay,arr_delay,origin,dest,tailnum,carrier
2013,2013-07-22T14:00:00Z,-6,-16,LGA,SRQ,N369NB,DL
2013,2013-10-05T11:00:00Z,-3,-30,JFK,SFO,N853VA,VX
2013,2013-10-16T11:00:00Z,-5,-43,EWR,SEA,N538AS,AS
2013,2013-06-21T11:00:00Z,-3,-24,LGA,ATL,N688DL,DL
2013,2013-07-26T01:00:00Z,21,21,EWR,MCO,N649JB,B6
2013,2013-05-24T10:00:00Z,18,13,LGA,ATL,N168AT,FL
2013,2013-08-19T13:00:00Z,-10,-29,LGA,DTW,N314US,DL
2013,2013-07-02T22:00:00Z,1,1,LGA,ATL,N983AT,FL
2013,2013-10-19T00:00:00Z,30,46,EWR,STL,N15910,EV
2013,2013-05-04T13:00:00Z,-7,23,JFK,PWM,N304JB,B6
2013,2013-09-04T17:00:00Z,2,-13,EWR,FLL,N409UA,UA
2013,2013-04-02T00:00:00Z,-5,1,JFK,LAX,N554UA,UA
2013,2013-09-30T09:00:00Z,-1,-21,JFK,BQN,N552JB,B6
2013,2013-12-31T11:00:00Z,-7,-18,LGA,ORD,N3AYAA,AA
2013,2013-04-18T15:00:00Z,-1,0,LGA,PIT,N608QX,EV
2013,2013-08-09T01:00:00Z,NA,NA,LGA,RDU,N522MQ,MQ
2013,2013-05-24T01:00:00Z,123,120,EWR,RIC,N15572,EV
2013,2013-09-02T17:00:00Z,0,-15,JFK,PWM,N348JB,B6
2013,2013-08-20T10:00:00Z,-5,-2,LGA,IAH,N476UA,UA
2013,2013-07-17T13:00:00Z,11,5,LGA,MIA,N3GTAA,AA
2013,2013-04-14T13:00:00Z,-5,11,EWR,LAX,N634VA,VX
2013,2013-06-24T21:00:00Z,NA,NA,LGA,CLT,N935LR,YV
2013,2013-06-30T22:00:00Z,42,-7,EWR,SNA,N817UA,UA
2013,2013-12-13T10:00:00Z,-10,-12,JFK,BQN,N524JB,B6
2013,2013-09-09T15:00:00Z,-1,-4,JFK,IAD,N374JB,B6
2013,2013-08-02T21:00:00Z,65,90,JFK,ORD,N3KLAA,AA
2013,2013-09-20T21:00:00Z,4,-20,JFK,LAX,N704X,DL
2013,2013-05-03T20:00:00Z,2,-34,LGA,DFW,N4YFAA,AA
2013,2013-02-03T20:00:00Z,-4,-13,LGA,DFW,N3GYAA,AA
2013,2013-09-23T11:00:00Z,-2,-11,LGA,DTW,N369NB,DL
2013,2013-07-13T12:00:00Z,16,10,EWR,SFO,N574UA,UA
2013,2013-07-08T23:00:00Z,81,74,EWR,OKC,N11150,EV
2013,2013-02-21T15:00:00Z,2,3,JFK,SFO,N640JB,B6
2013,2013-09-18T23:00:00Z,-10,-32,LGA,DTW,N334NW,DL
2013,2013-02-22T23:00:00Z,67,76,JFK,IAD,N179JB,B6
2013,2013-09-21T21:00:00Z,-17,-2,LGA,CAK,N966AT,FL
2013,2013-09-08T15:00:00Z,-3,-8,JFK,LAX,N653JB,B6
2013,2013-01-28T19:00:00Z,2,1,JFK,MCO,N587JB,B6
2013,2013-03-23T17:00:00Z,-9,-4,EWR,IND,N17159,EV
2013,2013-05-14T10:00:00Z,-5,-26,JFK,FLL,N516JB,B6
2013,2013-03-09T14:00:00Z,4,-30,JFK,LAS,N845VA,VX
2013,2013-06-14T21:00:00Z,30,7,LGA,MCO,N656JB,B6
2013,2013-10-13T11:00:00Z,-6,-10,JFK,CHS,N283JB,B6
2013,2013-05-01T23:00:00Z,0,12,JFK,CMH,N513MQ,MQ
2013,2013-02-04T18:00:00Z,1,4,JFK,ATL,N3756,DL
2013,2013-09-16T00:00:00Z,-7,-17,JFK,ABQ,N613JB,B6
2013,2013-10-25T22:00:00Z,-3,6,JFK,SEA,N655JB,B6
2013,2013-09-29T20:00:00Z,18,-14,JFK,BNA,N641MQ,MQ
2013,2013-07-02T18:00:00Z,105,100,EWR,DCA,N14972,EV
2013,2013-10-29T10:00:00Z,0,-18,EWR,BOS,N27733,UA
2013,2013-07-11T19:00:00Z,NA,NA,JFK,SFO,N349AA,AA
2013,2013-08-15T11:00:00Z,-2,-10,JFK,SLC,N695DL,DL
2013,2013-10-29T11:00:00Z,-5,-2,LGA,ORD,N479UA,UA
2013,2013-09-01T23:00:00Z,73,49,LGA,ATL,N903DE,DL
2013,2013-05-23T18:00:00Z,NA,NA,JFK,IAD,NA,9E
2013,2013-08-26T12:00:00Z,-7,-33,JFK,MVY,N840AY,9E
2013,2013-05-30T10:00:00Z,-9,-21,JFK,SJU,N3AWAA,AA
2013,2013-07-19T12:00:00Z,20,1,EWR,MCI,N12126,EV
2013,2013-12-15T23:00:00Z,336,307,LGA,ATL,N963DL,DL
2013,2013-08-04T11:00:00Z,-2,-23,EWR,SJU,N599JB,B6
2013,2013-05-09T20:00:00Z,-9,-55,JFK,SFO,N707TW,DL
2013,2013-08-09T20:00:00Z,54,164,LGA,DCA,N751UW,US
2013,2013-10-30T03:00:00Z,-7,-14,JFK,SJU,N644JB,B6
2013,2013-03-10T19:00:00Z,-4,-11,LGA,CMH,N711MQ,MQ
2013,2013-10-19T12:00:00Z,-7,0,JFK,ORD,N908XJ,9E
2013,2013-04-12T11:00:00Z,-2,0,LGA,CLT,N150UW,US
2013,2013-06-25T00:00:00Z,NA,NA,JFK,BOS,N329JB,B6
2013,2013-02-17T00:00:00Z,-3,-24,JFK,PIT,N909XJ,9E
2013,2013-05-30T01:00:00Z,61,45,JFK,LAX,N602DL,DL
2013,2013-05-19T18:00:00Z,11,1,JFK,MIA,N374AA,AA
2013,2013-06-21T17:00:00Z,92,56,LGA,IAH,N478UA,UA
2013,2013-11-13T14:00:00Z,11,1,EWR,ORD,N57862,UA
2013,2013-01-11T21:00:00Z,-3,-6,JFK,BUR,N615JB,B6
2013,2013-12-26T12:00:00Z,-2,16,LGA,MIA,N3JJAA,AA
2013,2013-05-01T18:00:00Z,-8,21,LGA,MIA,N3DTAA,AA
2013,2013-01-07T21:00:00Z,8,-27,JFK,BUR,N608JB,B6
2013,2013-05-17T10:00:00Z,-3,-16,JFK,ATL,N995DL,DL
2013,2013-01-04T22:00:00Z,-3,-9,LGA,MCO,N990DL,DL
2013,2013-12-03T11:00:00Z,-4,-13,EWR,DEN,N537UA,UA
2013,2013-02-22T11:00:00Z,NA,NA,EWR,ORD,N520MQ,MQ
2013,2013-06-15T11:00:00Z,34,19,EWR,SFO,N849VA,VX
2013,2013-04-28T18:00:00Z,0,0,LGA,IAD,N832AS,EV
2013,2013-01-17T11:00:00Z,-1,0,EWR,CVG,N14959,EV
2013,2013-09-16T12:00:00Z,-8,-7,LGA,ATL,N603AT,FL
2013,2013-07-16T10:00:00Z,14,-2,JFK,FLL,N623JB,B6
2013,2013-05-30T01:00:00Z,71,61,LGA,RDU,N852MQ,MQ
2013,2013-08-01T13:00:00Z,-5,21,EWR,ATL,N327NB,DL
2013,2013-09-22T16:00:00Z,-5,-22,EWR,SNA,N38727,UA
2013,2013-05-22T02:00:00Z,145,134,JFK,ROC,N284JB,B6
2013,2013-01-26T01:00:00Z,1,83,EWR,BOS,N73278,UA
2013,2013-08-09T14:00:00Z,-9,-5,LGA,DCA,N768US,US
2013,2013-04-13T10:00:00Z,-3,14,EWR,TPA,N34282,UA
2013,2013-01-28T11:00:00Z,-11,-17,LGA,ATL,N9EAMQ,MQ
2013,2013-07-16T12:00:00Z,0,-8,LGA,MSY,N302NB,DL
2013,2013-09-30T18:00:00Z,-7,-17,JFK,BTV,N249JB,B6
2013,2013-11-06T01:00:00Z,-7,-27,EWR,DAY,N16963,EV
2013,2013-08-27T10:00:00Z,-1,-13,JFK,RSW,N796JB,B6
2013,2013-05-22T10:00:00Z,-5,11,EWR,RDU,N18557,EV
2013,2013-11-30T11:00:00Z,-4,-23,EWR,DTW,N369NW,DL
2013,2013-05-26T19:00:00Z,-1,-35,EWR,PHX,N26215,UA
2013,2013-01-29T23:00:00Z,-7,-27,EWR,MCO,N586JB,B6
2013,2013-05-24T23:00:00Z,-1,-7,JFK,LAX,N711ZX,DL
2013,2013-10-11T12:00:00Z,-3,-24,LGA,RSW,N908XJ,9E
2013,2013-07-19T13:00:00Z,-3,-28,LGA,MIA,N3FFAA,AA
2013,2013-09-05T20:00:00Z,-8,-9,LGA,CLT,N716EV,EV
2013,2013-08-04T10:00:00Z,4,-4,JFK,CLT,N117UW,US
2013,2013-07-09T00:00:00Z,104,93,EWR,BOS,N339JB,B6
2013,2013-10-13T14:00:00Z,-2,-26,JFK,PBI,N807JB,B6
2013,2013-04-09T21:00:00Z,-7,-44,EWR,MIA,N3JKAA,AA
2013,2013-02-22T03:00:00Z,1,23,JFK,PWM,N348JB,B6
2013,2013-12-24T23:00:00Z,-5,-21,LGA,MIA,N3BYAA,AA
2013,2013-10-14T21:00:00Z,59,70,EWR,DTW,N12552,EV
2013,2013-09-18T14:00:00Z,-10,-24,LGA,CMH,N735MQ,MQ
2013,2013-02-24T02:00:00Z,-5,-9,EWR,MIA,N73291,UA
2013,2013-11-11T14:00:00Z,-3,-13,LGA,DTW,N331NW,DL
2013,2013-10-02T21:00:00Z,17,1,EWR,SFO,N641VA,VX
2013,2013-11-11T22:00:00Z,7,-9,LGA,ATL,N995DL,DL
2013,2013-12-10T22:00:00Z,2,35,JFK,SAN,N3BSAA,AA
2013,2013-05-18T22:00:00Z,-8,-57,JFK,MCI,N919XJ,9E
2013,2013-03-17T16:00:00Z,-8,-14,JFK,BOS,N3BVAA,AA
2013,2013-02-02T19:00:00Z,66,64,EWR,TPA,N529UA,UA
2013,2013-08-09T00:00:00Z,3,21,EWR,FLL,N39461,UA
2013,2013-07-23T11:00:00Z,-3,8,JFK,SLC,N649DL,DL
2013,2013-03-21T21:00:00Z,1,-14,JFK,SFO,N336AA,AA
2013,2013-12-31T11:00:00Z,-6,0,EWR,DCA,N15574,EV
2013,2013-12-22T17:00:00Z,-3,-6,EWR,PIT,N14998,EV
2013,2013-01-20T22:00:00Z,9,-6,LGA,ORD,N832UA,UA
2013,2013-02-03T19:00:00Z,-4,-25,EWR,RSW,N76522,UA
2013,2013-05-04T01:00:00Z,NA,NA,EWR,BDL,N14959,EV
2013,2013-01-12T13:00:00Z,0,-8,EWR,BZN,N475UA,UA
2013,2013-03-21T14:00:00Z,-4,-19,EWR,ATL,N310DE,DL
2013,2013-12-15T13:00:00Z,73,88,EWR,PBI,N39463,UA
2013,2013-07-08T00:00:00Z,NA,NA,JFK,BWI,NA,9E
2013,2013-12-01T15:00:00Z,5,-6,JFK,LAX,N327AA,AA
2013,2013-09-11T14:00:00Z,-6,-32,EWR,IAH,N57870,UA
2013,2013-02-27T00:00:00Z,14,41,LGA,FLL,N366NW,DL
2013,2013-06-18T15:00:00Z,-3,-20,LGA,FLL,N911DL,DL
2013,2013-06-26T00:00:00Z,66,65,JFK,LAX,N796JB,B6
2013,2013-10-10T13:00:00Z,2,26,LGA,CLT,N745VJ,US
2013,2013-03-08T14:00:00Z,121,116,LGA,MCO,N370NW,DL
2013,2013-08-23T00:00:00Z,23,4,JFK,LAX,N846VA,VX
2013,2013-04-20T13:00:00Z,-1,10,EWR,STT,N33714,UA
2013,2013-03-30T14:00:00Z,0,-22,LGA,CLT,N732US,US
2013,2013-03-06T12:00:00Z,1,-50,EWR,HOU,N759GS,WN
2013,2013-08-15T15:00:00Z,-3,18,LGA,FLL,N923DL,DL
2013,2013-09-09T19:00:00Z,4,-9,JFK,ATL,N373DA,DL
2013,2013-10-27T16:00:00Z,-7,-30,LGA,MCO,N320US,DL
2013,2013-10-31T00:00:00Z,-4,-21,JFK,PBI,N834JB,B6
2013,2013-05-01T17:00:00Z,-8,-18,EWR,CLT,N540UW,US
2013,2013-06-05T14:00:00Z,-9,-33,EWR,ORD,N442UA,UA
2013,2013-12-19T01:00:00Z,0,14,EWR,MKE,N16571,EV
2013,2013-05-17T14:00:00Z,-10,-17,EWR,ATL,N310DE,DL
2013,2013-05-10T13:00:00Z,-4,-26,EWR,ATL,N16546,EV
2013,2013-11-27T17:00:00Z,NA,NA,EWR,BTV,N13550,EV
2013,2013-11-12T17:00:00Z,6,-13,JFK,BOS,N3GSAA,AA
2013,2013-04-07T15:00:00Z,1,3,EWR,ATL,N305DQ,DL
2013,2013-09-13T12:00:00Z,-1,-10,JFK,BOS,N334NB,DL
2013,2013-08-29T21:00:00Z,62,57,LGA,DEN,N203FR,F9
2013,2013-01-18T12:00:00Z,-1,0,JFK,FLL,N3HRAA,AA
2013,2013-12-20T14:00:00Z,-5,-14,LGA,ATL,N906DL,DL
2013,2013-02-07T16:00:00Z,-6,-5,JFK,DCA,N3AEMQ,MQ
2013,2013-05-30T12:00:00Z,-11,-20,LGA,ATL,N906AT,FL
2013,2013-03-29T18:00:00Z,1,-10,LGA,ATL,N618DL,DL
2013,2013-08-06T16:00:00Z,25,17,JFK,CLT,N197UW,US
2013,2013-05-26T23:00:00Z,-2,9,JFK,FLL,N3757D,DL
2013,2013-08-08T11:00:00Z,-4,48,JFK,SJU,N517JB,B6
2013,2013-04-23T21:00:00Z,15,19,EWR,STL,N41104,EV
2013,2013-06-18T18:00:00Z,-6,0,EWR,SAN,N801UA,UA
2013,2013-07-06T17:00:00Z,-6,3,LGA,DCA,N957UW,US
2013,2013-06-26T21:00:00Z,6,-11,JFK,ROC,N239JB,B6
2013,2013-03-10T15:00:00Z,-3,-32,EWR,FLL,N14237,UA
2013,2013-07-08T23:00:00Z,40,21,JFK,IAD,N877AS,EV
2013,2013-11-14T11:00:00Z,4,-7,EWR,SFO,N24224,UA
2013,2013-10-21T21:00:00Z,-1,-7,JFK,LAS,N3745B,DL
2013,2013-01-15T19:00:00Z,7,12,EWR,DFW,N538AA,AA
2013,2013-04-13T14:00:00Z,-2,7,EWR,BNA,N13978,EV
2013,2013-03-03T15:00:00Z,-9,-35,EWR,DTW,N751EV,EV
2013,2013-09-06T12:00:00Z,-6,-42,EWR,SFO,N37422,UA
2013,2013-05-07T16:00:00Z,0,-8,JFK,SYR,N298JB,B6
2013,2013-07-16T10:00:00Z,-1,-23,EWR,ORD,N38459,UA
2013,2013-03-24T11:00:00Z,0,-17,LGA,CLT,N187US,US
2013,2013-01-09T23:00:00Z,-1,-5,LGA,MSP,N537MQ,MQ
2013,2013-06-06T21:00:00Z,-3,-2,JFK,IAD,N216JB,B6
2013,2013-06-06T21:00:00Z,-3,7,EWR,MCO,N665JB,B6
2013,2013-09-03T12:00:00Z,-2,-1,JFK,MCO,N659JB,B6
2013,2013-08-15T23:00:00Z,NA,NA,LGA,ATL,N951AT,FL
2013,2013-12-08T20:00:00Z,-1,NA,LGA,DCA,N953UW,US
2013,2013-12-17T19:00:00Z,7,26,JFK,IND,N908XJ,9E
2013,2013-04-24T12:00:00Z,0,-1,JFK,CLT,N304JB,B6
2013,2013-09-19T00:00:00Z,1,-28,JFK,PHX,N585JB,B6
2013,2013-03-05T00:00:00Z,-10,-13,JFK,IAD,N8587E,9E
2013,2013-03-07T22:00:00Z,11,-16,LGA,ATL,N680DA,DL
2013,2013-05-05T17:00:00Z,-3,5,LGA,CVG,N709EV,EV
2013,2013-05-06T13:00:00Z,14,7,LGA,MDW,N748SW,WN
2013,2013-03-06T18:00:00Z,38,24,LGA,FLL,N562JB,B6
2013,2013-12-18T19:00:00Z,-7,-8,LGA,DCA,N742PS,US
2013,2013-12-03T11:00:00Z,10,23,EWR,ATL,N13914,EV
2013,2013-02-01T14:00:00Z,3,17,JFK,TPA,N507JB,B6
2013,2013-11-24T23:00:00Z,48,33,LGA,ORD,N3CSAA,AA
2013,2013-02-10T19:00:00Z,-4,-15,LGA,IAD,N13958,EV
2013,2013-08-17T11:00:00Z,86,90,JFK,MCO,N635JB,B6
2013,2013-01-14T21:00:00Z,0,-15,EWR,MHT,N12564,EV
2013,2013-10-18T18:00:00Z,4,-3,EWR,RSW,N801UA,UA
2013,2013-02-25T21:00:00Z,17,39,EWR,IAH,N671UA,UA
2013,2013-05-30T22:00:00Z,-4,-9,EWR,SNA,N17719,UA
2013,2013-08-28T21:00:00Z,NA,NA,EWR,DAY,N22971,EV
2013,2013-01-28T18:00:00Z,-4,12,JFK,SJU,N580JB,B6
2013,2013-11-04T18:00:00Z,-2,-16,JFK,PHX,N642AW,US
2013,2013-09-29T18:00:00Z,22,9,EWR,DEN,N35407,UA
2013,2013-01-04T12:00:00Z,-5,-9,LGA,ATL,N627DL,DL
2013,2013-05-06T13:00:00Z,-7,-40,EWR,STL,N26545,EV
2013,2013-10-20T14:00:00Z,-8,9,JFK,PBI,N594JB,B6
2013,2013-08-09T23:00:00Z,NA,NA,EWR,DFW,N577AA,AA
2013,2013-01-12T18:00:00Z,282,270,EWR,MCO,N346JB,B6
2013,2013-08-20T23:00:00Z,-20,24,LGA,IAD,N820AS,EV
2013,2013-08-01T21:00:00Z,160,179,JFK,CVG,N910XJ,9E
2013,2013-06-24T18:00:00Z,22,69,EWR,RSW,N87507,UA
2013,2013-01-22T01:00:00Z,18,41,JFK,DCA,N932XJ,9E
2013,2013-10-17T14:00:00Z,6,-17,LGA,FLL,N355NB,DL
2013,2013-11-14T21:00:00Z,-1,-23,JFK,MIA,N366NW,DL
2013,2013-05-20T19:00:00Z,3,-21,EWR,MDW,N261WN,WN
2013,2013-10-20T22:00:00Z,-5,-15,LGA,ORD,N490AA,AA
2013,2013-05-29T21:00:00Z,14,-6,EWR,MIA,N3FTAA,AA
2013,2013-01-04T13:00:00Z,3,20,JFK,STT,N5FSAA,AA
2013,2013-04-15T01:00:00Z,-12,-12,LGA,CLT,N534MQ,MQ
2013,2013-02-18T23:00:00Z,-3,-4,LGA,MIA,N3ESAA,AA
2013,2013-06-13T20:00:00Z,NA,NA,LGA,IAD,N509MJ,YV
2013,2013-08-18T13:00:00Z,-3,-8,JFK,BTV,N236JB,B6
2013,2013-09-08T21:00:00Z,-4,-18,LGA,OMA,N708EV,EV
2013,2013-01-15T12:00:00Z,-1,-23,EWR,BOS,N27239,UA
2013,2013-08-27T01:00:00Z,10,4,EWR,CLT,N13903,EV
2013,2013-01-14T11:00:00Z,0,-6,EWR,FLL,N14214,UA
2013,2013-05-26T22:00:00Z,7,10,EWR,SFO,N579UA,UA
2013,2013-12-11T02:00:00Z,11,30,JFK,DCA,N853MQ,MQ
2013,2013-08-30T12:00:00Z,-2,-9,JFK,RDU,N354JB,B6
2013,2013-06-26T12:00:00Z,115,127,LGA,ORD,N4YEAA,AA
2013,2013-05-02T19:00:00Z,5,4,JFK,MCO,N37700,DL
2013,2013-05-22T18:00:00Z,-2,-30,LGA,DFW,N3HBAA,AA
2013,2013-10-02T17:00:00Z,-11,-39,LGA,DFW,N3EEAA,AA
2013,2013-06-28T11:00:00Z,0,-13,EWR,ALB,N13956,EV
2013,2013-09-03T20:00:00Z,-7,-21,LGA,DTW,N325US,DL
2013,2013-07-25T18:00:00Z,6,35,JFK,JAX,N355JB,B6
2013,2013-07-18T19:00:00Z,74,85,EWR,MSP,N11189,EV
2013,2013-01-23T22:00:00Z,37,44,EWR,RIC,N11544,EV
2013,2013-12-12T10:00:00Z,-2,-17,EWR,IAH,N73291,UA
2013,2013-03-11T12:00:00Z,10,8,LGA,PBI,N336NW,DL
2013,2013-04-17T13:00:00Z,32,41,LGA,FLL,N376NW,DL
2013,2013-11-08T19:00:00Z,-2,4,EWR,LAS,N76504,UA
2013,2013-04-30T21:00:00Z,-1,-13,LGA,ATL,N696DL,DL
2013,2013-11-29T17:00:00Z,-5,-19,LGA,ATL,N910DL,DL
2013,2013-05-14T20:00:00Z,-8,-50,LGA,MIA,N3GDAA,AA
2013,2013-02-18T02:00:00Z,-2,-16,JFK,BUF,N266JB,B6
2013,2013-12-11T21:00:00Z,1,37,EWR,ORD,N77530,UA
2013,2013-04-28T10:00:00Z,-5,-2,JFK,RSW,N503JB,B6
2013,2013-12-27T15:00:00Z,1,0,JFK,BUF,N306JB,B6
2013,2013-09-19T18:00:00Z,-4,-6,JFK,SJU,N508JB,B6
2013,2013-03-03T21:00:00Z,7,-9,JFK,ORD,N193JB,B6
2013,2013-06-05T17:00:00Z,-12,-24,EWR,ORD,N537MQ,MQ
2013,2013-09-13T15:00:00Z,-5,-3,LGA,PIT,N751EV,EV
2013,2013-05-27T23:00:00Z,-9,-25,LGA,PIT,N335NB,DL
2013,2013-05-06T23:00:00Z,8,-23,JFK,CVG,N906XJ,9E
2013,2013-08-26T10:00:00Z,-6,-22,JFK,MCO,N592JB,B6
2013,2013-10-31T22:00:00Z,-15,42,JFK,DFW,N914XJ,9E
2013,2013-12-23T00:00:00Z,51,81,JFK,RDU,N813MQ,MQ
2013,2013-11-04T01:00:00Z,24,17,JFK,FLL,N558JB,B6
2013,2013-01-19T17:00:00Z,-10,-25,LGA,DTW,N324NB,DL
2013,2013-12-31T12:00:00Z,0,-6,EWR,SFO,N838VA,VX
2013,2013-03-27T11:00:00Z,-3,-32,JFK,LAX,N718TW,DL
2013,2013-03-18T23:00:00Z,0,51,JFK,RSW,N603JB,B6
2013,2013-11-25T20:00:00Z,-4,4,EWR,MKE,N11193,EV
2013,2013-10-27T15:00:00Z,8,5,LGA,DCA,N948UW,US
2013,2013-08-25T02:00:00Z,-3,-20,JFK,PWM,N373JB,B6
2013,2013-05-20T23:00:00Z,5,12,EWR,ATL,N710EV,EV
2013,2013-12-19T18:00:00Z,-4,-19,LGA,FLL,N978DL,DL
2013,2013-07-09T18:00:00Z,-4,-6,LGA,CLT,N758EV,EV
2013,2013-09-04T21:00:00Z,-4,-30,JFK,OAK,N746JB,B6
2013,2013-03-07T01:00:00Z,NA,NA,EWR,IND,N13949,EV
2013,2013-03-01T22:00:00Z,20,3,JFK,DCA,N837MQ,MQ
2013,2013-07-04T13:00:00Z,-7,-2,EWR,DFW,N587AA,AA
2013,2013-02-22T11:00:00Z,-9,-14,EWR,FLL,N608JB,B6
2013,2013-05-20T12:00:00Z,20,2,LGA,ATL,N544MQ,MQ
2013,2013-12-11T16:00:00Z,-11,-19,LGA,CLT,N906FJ,YV
2013,2013-04-07T00:00:00Z,-1,-10,EWR,BQN,N76523,UA
2013,2013-04-01T21:00:00Z,3,16,LGA,DCA,N737US,US
2013,2013-03-26T19:00:00Z,-7,-3,LGA,BOS,N955UW,US
2013,2013-11-12T15:00:00Z,-9,-43,EWR,SFO,N524UA,UA
2013,2013-05-03T01:00:00Z,-3,-41,JFK,LAX,N711ZX,DL
2013,2013-08-15T15:00:00Z,-5,1,EWR,ATL,N303DQ,DL
2013,2013-04-12T19:00:00Z,64,92,JFK,PIT,N639MQ,MQ
2013,2013-05-03T10:00:00Z,0,-10,LGA,ATL,N616DL,DL
2013,2013-09-19T23:00:00Z,245,207,EWR,CLT,N13994,EV
2013,2013-05-17T19:00:00Z,11,-12,EWR,TPA,N584JB,B6
2013,2013-09-04T15:00:00Z,-5,-20,JFK,SLC,N3767,DL
2013,2013-08-08T00:00:00Z,73,74,EWR,IAH,N426UA,UA
2013,2013-01-26T20:00:00Z,144,117,EWR,IAH,N66051,UA
2013,2013-12-08T03:00:00Z,-8,-21,JFK,BTV,N216JB,B6
2013,2013-02-12T16:00:00Z,-7,-1,EWR,MCO,N709JB,B6
2013,2013-10-15T21:00:00Z,8,-15,JFK,MIA,N371AA,AA
