total_cup_points,species,owner,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,producer,processing_method2,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
84.58,Arabica,daniel magu,Kenya,blend,sagana,c dorman ltd,60,kg,100,nyeri,BLEND,Washed / Wet,Kenya Coffee Traders Association,2013,"July 21st, 2014",Daniel Magu,Peaberry,Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,0,0,Bluish-Green,2,"July 21st, 2015",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
84.58,Arabica,juan luis alvarado romero,Guatemala,el morito,el morito,"armajaro guatemala, s. a.",69,kg,250,jalapa,ROBERTO MONTERROSO,Washed / Wet,Asociacion Nacional Del Café,2014,"May 29th, 2014",Juan Luis Alvarado Romero,Pacas,Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,0,0,Green,1,"May 29th, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
84.58,Arabica,juan luis alvarado romero,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,AMILCAR LAPOLA,Washed / Wet,Asociacion Nacional Del Café,2014,"March 24th, 2014",Juan Luis Alvarado Romero,Bourbon,Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,0,0,Green,0,"March 24th, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
84.58,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,trilladora agricola,ecom cca sa,70,kg,250,santander,NA,Washed / Wet,Almacafé,2013,"December 20th, 2013",Compañia Colombiana Agroindustrial S.A,Caturra,Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0,0,0,NA,0,"December 20th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
84.58,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,70,kg,75,huila,La Plata,Washed / Wet,Almacafé,2013,"December 6th, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0,0,0,NA,5,"December 6th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1900,1750
84.58,Arabica,taylor winch (coffee) ltd.,Kenya,NA,NA,taylor winch (coffee) ltd,660,kg,11,NA,changeru wet mill,Washed / Wet,Kenya Coffee Traders Association,2013,"August 30th, 2013",Taylor Winch (Coffee) Ltd.,SL28,Wet,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0,0,0,Green,0,"August 30th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,NA,NA,NA
84.58,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,NA,Washed / Wet,Almacafé,2012,"July 17th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,0,0,Green,2,"July 17th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
84.58,Arabica,lusso lab,Costa Rica,la chaparral,NA,lusso coffee lab,1,kg,1,tres rios,NA,Semi-washed / Semi-pulped,Specialty Coffee Association,2012,"March 12th, 2013",LUSSO LAB,Bourbon,Semi-washed,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,0,0,Bluish-Green,2,"March 12th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1450,1700,1575
84.58,Arabica,exportadora de cafe condor s.a,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,varios,Washed / Wet,Almacafé,2012,"October 9th, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,0,0,Green,6,"October 9th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
84.58,Arabica,nucoffee,Brazil,fazenda recreio,NA,nucoffee,60,kg,37,vale da grama,Homero Texeira de Macedo Junior,Semi-washed / Semi-pulped,NUCOFFEE,2011,"December 23rd, 2011",NUCOFFEE,Bourbon,Semi-washed,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,0,0,Green,2,"December 22nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1300,1300,1300
84.58,Arabica,nucoffee,Brazil,fazenda vista alegre,NA,nucoffee,60,kg,35,mountains of minas gerais,Geraldo Paixão,Semi-washed / Semi-pulped,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Catuai,Semi-washed,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,0,0,Blue-Green,1,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1100,1100,1100
84.5,Arabica,max gurdian,Costa Rica,NA,beneficio santo domingo - beneficio dosmil,beneficios volcafé costa rica,18975,kg,275,valle central,Various,Washed / Wet,Specialty Coffee Association of Costa Rica,2017 / 2018,"November 28th, 2017",Max Gurdian,Caturra,Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,0,0,Bluish-Green,2,"November 28th, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200,1200,1200
84.5,Arabica,ecom japan limited,Uganda,kawacom sipi project,kawacom,kawacom uganda ltd,12000,kg,200,eastern uganda,Kawacom Uganda Ltd,Washed / Wet,Uganda Coffee Development Authority,2016,"March 14th, 2017",ECOM Japan Limited,SL14,Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,0,0,Green,1,"March 14th, 2018",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1750,1750,1750
84.5,Arabica,yunnan coffee exchange,China,menglian ban’an coffee processing factory,menglian ban’an coffee processing factory,yunnan coffee exchange,60,kg,3,yunnan,Menglian Ban’an Coffee Processing Factory,Washed / Wet,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,0,0,Green,1,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1680,1680,1680
84.5,Arabica,fabian calderon mora,Costa Rica,coopetarrazú,coopetarrazú,coopetarrazú.r.l,1,lbs,250,tarrazu,Coopetarrazú,Washed / Wet,Specialty Coffee Association of Costa Rica,2014,"July 6th, 2015",Fabian Calderon Mora,Caturra,Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,0,0,Green,0,"July 5th, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1700,1700,1700
84.5,Arabica,federacion nacional de cafeteros,Colombia,NA,cauca,federacion nacional de cafeteros,2,kg,275,cauca,NA,Washed / Wet,Almacafé,2015/2016,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,1,0,Green,0,"June 4th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
84.5,Arabica,eric wu,China,"puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd",2,kg,1,yunnan,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",Washed / Wet,Specialty Coffee Association,2013,"June 16th, 2014",Eric Wu,Other,Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,0,0,Green,2,"June 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
84.5,Arabica,juan luis alvarado romero,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,LUIS RODRIGUEZ,Washed / Wet,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,0,0,Green,2,"February 26th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
84.5,Arabica,dream together,Kenya,rumukia farmers,sasini,dream together co. ltd,60,kg,235,nyeri,NA,Washed / Wet,Specialty Coffee Institute of Asia,2012,"September 16th, 2012",Dream Together,SL28,Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,0,0,Blue-Green,0,"September 16th, 2013",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,2000,2000,2000
84.5,Arabica,maria imelda uscanga martinez,Mexico,la barranca,hustusco,NA,1,kg,56,hustusco,MARIA IMELDA USCANGA MARTINEZ,Washed / Wet,AMECAFE,2012,"July 11th, 2012",MARIA IMELDA USCANGA MARTINEZ,Typica,Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,0,0,Green,0,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1350,1350,1350
84.5,Arabica,alfredo bojalil,Mexico,finca el retiro,agroindustrias unidas de mexico,ecomtrading,1,kg,250,jaltenango,SANTIAGO JOSE ARGUELLO CAMPOS,Washed / Wet,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11,0,0,NA,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1500,1500,1500
84.5,Arabica,juan luis alvarado romero,Guatemala,nueva granada,beneficio nueva granada,"transcafe, s.a",69,kg,250,"el tumbador, san marcos","AGRICOLA NUEVA GRANADA, S.A",Washed / Wet,Asociacion Nacional Del Café,2012,"February 16th, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,0,0,Green,2,"February 15th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
84.42,Arabica,max gurdian,Costa Rica,several farmers,beneficio san diego,beneficios volcafé costa rica,69,kg,275,tarrazu,Beneficio San Diego,Washed / Wet,Specialty Coffee Association of Costa Rica,2016,"March 23rd, 2017",Max Gurdian,Caturra,Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,0,0,Blue-Green,3,"March 23rd, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300,1300,1300
84.42,Arabica,aulia arif syahri,Indonesia,darmawi,dry mill,pt. olam indonesia,30,kg,200,sumatra brastagi,Surbakti,Other,Specialty Coffee Association,2017,"March 14th, 2017",Aulia Arif Syahri,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,0,0,Blue-Green,3,"March 14th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
84.42,Arabica,carcafe ltda ci,Colombia,NA,neiva,carcafe ltda,35,kg,304,pitalito,FRANKLIN DUSSAN,Natural / Dry,Almacafé,2015/2016,"January 25th, 2016",CARCAFE LTDA CI,Caturra,Dry,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,0,0,Green,1,"January 24th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
84.42,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,70,kg,275,huila,La Plata,Washed / Wet,Almacafé,2014,"July 9th, 2014",Racafe & Cia S.C.A,Caturra,Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,0,0,Green,3,"July 9th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
84.42,Arabica,kao ming lee,Taiwan,tropica galliard,tropica galliard,tropica galliard,2,kg,2,"mountain ali, taiwan",Kao Ming Lee,Washed / Wet,Specialty Coffee Association,2012,"July 10th, 2013",Kao Ming Lee,Typica,Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,0,0,Blue-Green,0,"July 10th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
84.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,5,kona,NA,Natural / Dry,Specialty Coffee Association,2012,"January 21st, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11,0,0,Blue-Green,1,"January 21st, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
84.42,Arabica,maria amalia guadalupe toriello elorza,Mexico,finca la chiripa,finca hamburgo,finca hamburgo,1,kg,69,tapachula,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Washed / Wet,AMECAFE,2012,"June 6th, 2012",MARIA AMALIA GUADALUPE TORIELLO ELORZA,Pacamara,Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12,2,0,NA,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,900,900,900
84.33,Arabica,lydiah mwangi,Kenya,kigwandi,central kenya coffee mills,c dorman ltd,60,kg,150,nyeri,mutheka,Washed / Wet,Kenya Coffee Traders Association,2017 / 2018,"August 3rd, 2017",Lydiah Mwangi,SL28,Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,0,0,Green,4,"August 3rd, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
84.33,Arabica,raúl vargas,Colombia,NA,san josé / neiva,skn caribecafe ltda,70,kg,275,huila,NA,Washed / Wet,Almacafé,2016,"February 20th, 2017",Raúl Vargas,Caturra,Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,0,3,Green,5,"February 20th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
84.33,Arabica,bismarck castro,Honduras,los hicaques,dry mill,cigrah s.a de c.v,69,kg,275,central region,Reinerio Zepeda,Washed / Wet,Instituto Hondureño del Café,2016,"April 4th, 2016",Bismarck Castro,Catuai,Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,0,1,Green,2,"April 4th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500,1500,1500
84.33,Arabica,carcafe ltda ci,Colombia,NA,neiva,carcafe ltda,70,kg,250,huila,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,Natural / Dry,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,6,0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
84.33,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,275,huila,NA,Washed / Wet,Almacafé,2013,"July 19th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,0,0,Green,0,"July 19th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
84.33,Arabica,victor hugo melchor cordova,Mexico,la distancia,la distancia,NA,80,kg,100,tuxtla gutierrez,VICTOR HUGO MELCHOR CORDOVA,Washed / Wet,AMECAFE,2012,"July 27th, 2012",VICTOR HUGO MELCHOR CORDOVA,Typica,Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,0,0,Blue-Green,1,"July 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1700,1700,1700
84.25,Arabica,"lin, che-hao krude 林哲豪",Taiwan,馨晴咖啡 good mood coffee,馨晴咖啡 good mood coffee,taiwan coffee laboratory,5,kg,10,國姓鄉 guoshing township,黃美桃 Huang Mei Tao,Washed / Wet,Specialty Coffee Association,2016,"August 10th, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,0,0,Blue-Green,0,"August 10th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000,1000,1000
84.25,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,matsuzawa coffee,matsuzawa coffee,25,kg,20,chiang rai thailand,Matsuzawa Coffee,Natural / Dry,Specialty Coffee Institute of Asia,2015,"November 2nd, 2016",松澤宏樹 Koju Matsuzawa,Catimor,Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,0,0,Green,0,"November 2nd, 2017",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1200,1200,1200
84.25,Arabica,carcafe ltda ci,Colombia,NA,pasto,carcafe ltda,70,kg,275,nariño,JOSE ALBEIRO GOMEZ,Natural / Dry,Almacafé,2016,"August 5th, 2016",CARCAFE LTDA CI,Caturra,Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,0,0,Green,2,"August 5th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2560,2560,2560
84.25,Arabica,juan luis alvarado romero,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",69,kg,230,antigua,FINCA MEDINA,Washed / Wet,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,0,4,Green,4,"May 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500,1500,1500
84.25,Arabica,juan luis alvarado romero,Guatemala,finca san vicente,beneficio exportacafe agua santa,exportcafe,69,kg,275,huehuetenango,HORACIO CIFUENTES MARTINEZ,Washed / Wet,Asociacion Nacional Del Café,2015,"April 6th, 2016",Juan Luis Alvarado Romero,Caturra,Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,0,0,Green,1,"April 6th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1099.4136,1099.4136,1099.4136
84.25,Arabica,yunnan coffee exchange,China,menglian county nayun town mangzhang coffee farm,menglian county nayun town mangzhang coffee farm,yunnan coffee exchange,60,kg,3,yunnan,Menglian County Nayun Town Mangzhang Coffee Farm,Natural / Dry,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,0,0,Green,1,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1400,1400,1400
84.25,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,70,kg,275,huila,La Plata,Washed / Wet,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,0,0,Green,3,"November 18th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
84.25,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,70,kg,248,huila,La Plata,Washed / Wet,Almacafé,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,4,0,Green,2,"October 25th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
84.25,Arabica,federacion nacional de cafeteros,Colombia,NA,cauca,federacion nacional de cafeteros,2,kg,275,cauca,NA,Washed / Wet,Almacafé,2015/2016,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,0,0,Green,0,"June 4th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
84.25,Arabica,carcafe ltda ci,Colombia,NA,neiva,carcafe ltda,70,kg,250,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,Natural / Dry,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,3,0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
84.25,Arabica,tembo coffee company ltd,"Tanzania, United Republic Of",jacksom mwasenga,tembo coffee company ltd,tembo coffee company ltd,60,kg,10,shizingo village,Tembo Coffee Company Ltd,Washed / Wet,Africa Fine Coffee Association,2014,"December 12th, 2014",Tembo Coffee Company Ltd,Other,Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12,0,0,Green,7,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1620,1620,1620
84.25,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",suma jkt itende,taylor winch (t) ltd,taylor winch (t) ltd,60,kg,65,mbeya,Taylor Winch (T) ltd,Washed / Wet,Africa Fine Coffee Association,2014,"December 12th, 2014",Taylor Winch (T) Ltd,Other,Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12,0,0,Green,2,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1600,1600,1600
84.25,Arabica,juan luis alvarado romero,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,AMILCAR LAPOLA,Other,Asociacion Nacional Del Café,2014,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,0,0,Green,1,"August 21st, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
84.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,cauca,NA,Washed / Wet,Almacafé,2013,"October 1st, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,0,0,Green,2,"October 1st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1700,1700,1700
84.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,7,kona,NA,Natural / Dry,Specialty Coffee Association,2012,"December 11th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,0.11,1,0,Bluish-Green,1,"December 11th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
84.25,Arabica,jesus salazar velasco,Mexico,pante carajillo,"san pedro cotzilnam, municipio de aldama, chiapas",carajillo café sa de cv,1,kg,10,san pedro cotzilnam,JESUS SALAZAR VELASCO,Semi-washed / Semi-pulped,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,0,0,Green,1,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1450,1450,1450
