faa,name,lat,lon
CEC,Del Norte County Airport,41.7802,-124.237
CEF,Westover Arb Metropolitan,42.194014,-72.534783
CEM,Central Airport,65.573889,-144.780833
CEU,Clemson,34.6722222,-82.8858889
CEW,Bob Sikes,30.778833,-86.522111
CEZ,Cortez Muni,37.303,-108.628056
CFD,Coulter Fld,30.715694,-96.331361
CGA,Craig Seaplane Base,55.478889,-133.147778
CGC,Crystal River,28.8676111,-82.5741111
CGF,Cuyahoga County,41.565124,-81.4863555
CGI,Cape Girardeau Regional Airport,37.2253,-89.5708
CGX,Meigs Field,41.860278,-87.609722
CGZ,Casa Grande Municipal Airport,32.954889,-111.766832
CHA,Lovell Fld,35.035278,-85.203808
CHI,All Airports,41.883611,-87.631667
CHO,Charlottesville-Albemarle,38.138639,-78.452861
CHS,Charleston Afb Intl,32.898647,-80.040528
CHU,Chuathbaluk Airport,61.579167,-159.215556
CIC,Chico Muni,39.795383,-121.858422
CID,Cedar Rapids,41.884694,-91.710806
CIK,Chalkyitsik Airport,66.645,-143.74
CIL,Council Airport,64.897778,-163.703333
CIU,Chippewa County International Airport,46.2508,-84.4724
CKB,Harrison Marion Regional Airport,39.2966,-80.2281
CKD,Crooked Creek Airport,61.867778,-158.135
CKF,Crisp County Cordele Airport,31.9888333,-83.7739167
CKV,Clarksville-Montgomery County Regional Airport,36.621944,-87.415
CLC,Clear Lake Metroport,29.5569,-95.137497
CLD,McClellan-Palomar Airport,33.0742,-117.1648
CLE,Cleveland Hopkins Intl,41.411689,-81.849794
CLL,Easterwood Fld,30.588583,-96.363833
CLM,William R Fairchild International Airport,48.1202,-123.5
CLS,Chehalis-Centralia,46.4062,-122.5897
CLT,Charlotte Douglas Intl,35.214,-80.943139
CLW,Clearwater Air Park,27.9764722,-82.7586667
CMH,Port Columbus Intl,39.997972,-82.891889
CMI,Champaign,40.03925,-88.278056
CMX,Houghton County Memorial Airport,47.1684,-88.4891
CNM,Cavern City Air Terminal,32.337472,-104.263278
CNW,Tstc Waco,31.637831,-97.074139
CNY,Canyonlands Field,38.755,-109.754722
COD,Yellowstone Rgnl,44.520194,-109.023806
COE,Pappy Boyington,47.7743056,-116.8195833
COF,Patrick Afb,28.234922,-80.610125
COI,Merritt Island Airport,28.3416111,-80.6854722
CON,Concord Municipal,43.20267,-71.50233
COS,City Of Colorado Springs Muni,38.805805,-104.700778
COT,Cotulla Lasalle Co,28.456694,-99.220294
COU,Columbia Rgnl,38.818094,-92.219631
CPR,Natrona Co Intl,42.908,-106.464417
CPS,St. Louis Downtown Airport,38.5707244,-90.1562211
CRE,Grand Strand Airport,33.81175,-78.7239444
CRP,Corpus Christi Intl,27.770361,-97.501222
CRW,Yeager,38.373147,-81.593189
CSG,Columbus Metropolitan Airport,32.5163333,-84.9388611
CTB,Cut Bank Muni,48.608353,-112.376144
CTH,Chester County G O Carlson Airport,39.9789,-75.8654
CTJ,West Georgia Regional Airport - O V Gray Field,33.6316964,-85.1522641
CTY,Cross City,29.6355278,-83.10475
CVG,Cincinnati Northern Kentucky Intl,39.048836,-84.667822
CVN,Clovis Muni,34.425139,-103.079278
CVO,Corvallis Muni,44.5067,-123.2915
CVS,Cannon Afb,34.382775,-103.322147
CVX,Charlevoix Municipal Airport,45.3047778,-85.2753333
CWA,Central Wisconsin,44.772726,-89.646635
CWI,Clinton Municipal,41.83075,-90.3289722
CWT,Chatsworth Station,34.256944,-118.598889
CXF,Coldfoot Airport,67.251389,-150.176111
CXL,Calexico Intl,32.669502,-115.51333
CXO,Lone Star Executive,30.351833,-95.414467
CXY,Capital City Airport,40.2171389,-76.8513611
CYF,Chefornak Airport,60.149167,-164.285556
CYM,Chatham Seaplane Base,57.515,-134.946111
CYS,Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839
CYT,Yakataga Airport,60.081901,-142.493611
CZF,Cape Romanzof Lrrs,61.780297,-166.038747
CZG,Tri-Cities,42.0471,-76.0578
CZN,Chisana Airport,62.071111,-142.048333
DAB,Daytona Beach Intl,29.179917,-81.058056
DAL,Dallas Love Fld,32.847111,-96.851778
DAW,Skyhaven Airport,43.2840556,-70.9292778
DAY,James M Cox Dayton Intl,39.902375,-84.219375
DBN,W H Barron Field,32.3388,-82.591
DBQ,Dubuque Rgnl,42.402,-90.709472
DCA,Ronald Reagan Washington Natl,38.852083,-77.037722
DDC,Dodge City Regional Airport,37.7634,-99.9656
DEC,Decatur,39.834564,-88.865689
DEN,Denver Intl,39.861656,-104.673178
DET,Coleman A Young Muni,42.409195,-83.009861
DFW,Dallas Fort Worth Intl,32.896828,-97.037997
DGL,Douglas Municipal Airport,31.3426028,-109.5064544
DHB,Deer Harbor Seaplane,48.618397,-123.00596
DHN,Dothan Rgnl,31.321339,-85.449628
DHT,Dalhart Muni,36.022586,-102.547278
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7975,-102.801944
DKB,De Kalb Taylor Municipal Airport,41.9338342,-88.7056864
DKK,Chautauqua County-Dunkirk Airport,42.4933353,-79.2720417
DKX,Knoxville Downtown Island Airport,35.9638333,-83.8736667
DLF,Laughlin Afb,29.359486,-100.777975
DLG,Dillingham,59.044667,-158.5055
DLH,Duluth Intl,46.842091,-92.193649
DLL,Baraboo Wisconsin Dells Airport,43.5217843,-89.7709266
DMA,Davis Monthan Afb,32.166467,-110.883144
DNL,Daniel Field Airport,33.4665028,-82.0393808
DNN,Dalton Municipal Airport,34.7229444,-84.87025
DNV,Vermilion Regional,40.1996944,-87.5955278
DOV,Dover Afb,39.129539,-75.465958
DPA,Dupage,41.907778,-88.248611
DQH,Douglas Municipal Airport,31.4767385,-82.8605664
DRG,Deering Airport,66.0696,-162.766
DRI,Beauregard Rgnl,30.831722,-93.339917
DRM,Drummond Island Airport,46.0093114,-83.7439342
DRO,Durango La Plata Co,37.151516,-107.75377
DRT,Del Rio Intl,29.374208,-100.927158
DSM,Des Moines Intl,41.533972,-93.663083
DTA,Delta Municipal Airport,39.3806386,-112.5077147
DTS,Destin,30.4000611,-86.4714772
DTW,Detroit Metro Wayne Co,42.212444,-83.353389
DUC,Halliburton Field Airport,34.4713056,-97.9598611
DUG,Bisbee Douglas Intl,31.469028,-109.603667
DUJ,DuBois Regional Airport,41.1783,-78.8987
DUT,Unalaska,53.900139,-166.5435
DVL,Devils Lake Regional Airport,48.114444,-98.908611
DVT,Deer Valley Municipal Airport,33.4117,112.457
DWA,Yolo County Airport,38.5793889,-121.8569444
DWH,David Wayne Hooks Field,30.063746,-95.554276
DWS,Orlando,28.398,-81.57
DXR,Danbury Municipal Airport,41.3715353,-73.4821906
DYS,Dyess Afb,32.420756,-99.8546
E25,Wickenburg Municipal Airport,33.96889877,-112.7990036
E51,Bagdad Airport,34.5958528,-113.170195
E55,Ocean Ridge Airport,38.8016111,-123.5306389
E63,Gila Bend Municipal Airport,32.960169,-112.673636
E91,Chinle Municipal Airport,36.1108806,-109.5754222
EAA,Eagle Airport,64.778056,-141.149722
EAR,Kearney Municipal Airport,40.727,-99.0068
EAT,Pangborn Field,47.398,-120.206
EAU,Chippewa Valley Regional Airport,44.8658,-91.4843
ECA,Iosco County,44.311,-83.422
ECG,Elizabeth City Cgas Rgnl,36.260581,-76.174572
ECP,Panama City-NW Florida Bea.,30.3417,-85.7973
EDF,Elmendorf Afb,61.250986,-149.806503
EDW,Edwards Afb,34.905417,-117.883739
EEK,Eek Airport,60.213611,-162.043889
EEN,Dillant Hopkins Airport,72.270833,42.898333
EET,Shelby County Airport,33.1777778,-86.7832222
EFD,Ellington Fld,29.607333,-95.15875
EGA,Eagle County Airport,39.6427611,-106.9159347
EGE,Eagle Co Rgnl,39.642556,-106.917694
EGT,Wellington Municipal,37.39411,-97.423225
EGV,Eagle River,45.932333,-89.268283
EGX,Egegik Airport,58.185556,-157.375556
EHM,Cape Newenham Lrrs,58.646428,-162.062778
EIL,Eielson Afb,64.665667,-147.1015
EKI,Elkhart Municipal,41.719444,-86.003333
EKN,Elkins Randolph Co Jennings Randolph,38.889444,-79.857139
EKO,Elko Regional Airport,40.8249,-115.792
EKY,Bessemer,33.1876,-86.5558
ELD,South Arkansas Rgnl At Goodwin Fld,33.220972,-92.813278
ELI,Elim Airport,64.615,-162.270556
ELM,Elmira Corning Rgnl,42.159889,-76.891611
ELP,El Paso Intl,31.80725,-106.377583
ELV,Elfin Cove Seaplane Base,58.195278,-136.3475
ELY,Ely Airport,39.299722,-114.841944
EMK,Emmonak Airport,62.786111,-164.490833
EMP,Emporia Municipal Airport,38.3321,-96.1912
ENA,Kenai Muni,60.573111,-151.245
END,Vance Afb,36.339167,-97.9165
ENV,Wendover,40.718694,-114.030889
ENW,Kenosha Regional Airport,42.5956944,-87.9278056
EOK,Keokuk Municipal Airport,40.4599078,-91.4285011
EPM,Eastport Municipal Airport,44.9101111,-67.0126944
EQY,Monroe Reqional Airport,35.01833,-80.62001
ERI,Erie Intl Tom Ridge Fld,42.082022,-80.176217
ERV,Kerrville Municipal Airport,29.9766667,-99.0854722
ERY,Luce County Airport,46.311199,-85.457298
ESC,Delta County Airport,45.722778,-87.093611
ESD,Orcas Island Airport,48.708056,-122.910556
ESF,Esler Rgnl,31.394903,-92.295772
ESN,Easton-Newnam Field Airport,38.8041667,-76.069
EUF,Weedon Field,31.5708,-85.0774
EUG,Mahlon Sweet Fld,44.124583,-123.211972
EVV,Evansville Regional,38.036997,-87.532364
EVW,Evanston-Uinta CO Burns Fld,41.1649,-111.0208
EWB,New Bedford Regional Airport,41.6761,-70.9569
EWK,Newton City-County Airport,38.0570785,-97.2752278
EWN,Craven Co Rgnl,35.072972,-77.042944
EWR,Newark Liberty Intl,40.6925,-74.168667
EXI,Excursion Inlet Seaplane Base,58.420556,-135.449167
EYW,Key West Intl,24.556111,-81.759556
F57,Seaplane Base,28.0575,-81.7628056
FAF,Felker Aaf,37.1325,-76.608841
FAI,Fairbanks Intl,64.815114,-147.856267
FAR,Hector International Airport,46.92065,-96.8157639
FAT,Fresno Yosemite Intl,36.776194,-119.71814
FAY,Fayetteville Regional Grannis Field,34.9912,-78.8803
FBG,Fredericksburg Amtrak Station,38.298416,-77.456875
FBK,Ladd Aaf,64.8375,-147.614444
FBR,Fort Bridger,41.236,-110.2436
FBS,Friday Harbor Seaplane Base,48.537222,-123.009722
FCA,Glacier Park Intl,48.310472,-114.256
FCM,Flying Cloud Airport,44.4938,-93.2726
FCS,Butts Aaf,38.678394,-104.756581
FDW,Fairfield County Airport,34.315472,-81.108806
FDY,Findlay Airport,41.0120278,-83.6686111
FFA,First Flight Airport,36.02,-75.67
FFC,Atlanta Regional Airport - Falcon Field,33.35725,-84.5718333
FFO,Wright Patterson Afb,39.826111,-84.048332
FFT,Capital City Airport,38.1819722,-84.9061389
FFZ,Mesa Falcon Field,33.4608001708984,-111.727996826172
FHU,Sierra Vista Muni Libby Aaf,31.588472,-110.344389
FIT,Fitchburg Municipal Airport,42.5541111,-71.7589722
FKL,Franklin,41.377874,-79.860362
FLD,Fond Du Lac County Airport,43.7711667,-88.4884167
FLG,Flagstaff Pulliam Airport,35.140318,-111.6692392
FLL,Fort Lauderdale Hollywood Intl,26.072583,-80.15275
FLO,Florence Rgnl,34.185361,-79.723889
FLV,Sherman Aaf,39.368332,-94.914686
FME,Tipton,39.085386,-76.759414
FMH,Otis Angb,41.658439,-70.521417
FMN,Four Corners Rgnl,36.74125,-108.229944
FMY,Page Fld,26.586611,-81.86325
FNL,Fort Collins Loveland Muni,40.451828,-105.011336
FNR,Funter Bay Seaplane Base,58.254444,-134.897778
FNT,Bishop International,42.965424,-83.743629
FOD,Fort Dodge Rgnl,42.5512,-94.191842
FOE,Forbes Fld,38.950944,-95.663611
FOK,Francis S Gabreski,40.843656,-72.631789
FRD,Friday Harbor Airport,48.521944,-123.024444
FRI,Marshall Aaf,39.055275,-96.764453
FRN,Bryant Ahp,61.266381,-149.653119
FRP,St Lucie County International Airport,27.497472,-80.372638
FSD,Sioux Falls,43.582014,-96.741914
FSI,Henry Post Aaf,34.649833,-98.402167
FSM,Fort Smith Rgnl,35.336583,-94.367444
FST,Fort Stockton Pecos Co,30.915667,-102.916139
FTK,Godman Aaf,37.907058,-85.972106
FTW,Fort Worth Meacham Intl,32.819778,-97.362444
FTY,Fulton County Airport Brown Field,33.7791,-84.5214
FUL,Fullerton Municipal Airport,33.521925,-117.584722
FWA,Fort Wayne,40.978472,-85.195139
FXE,Fort Lauderdale Executive,26.197281,-80.170706
FYU,Fort Yukon,66.571492,-145.250417
FYV,Drake Fld,36.005094,-94.170059
FZG,Fitzgerald Municipal Airport,31.6839046,-83.2709036
FZI,Fostoria Metropolitan Airport,41.1908333,-83.3930833
GAD,Northeast Alabama Regional Airport,33.9726489,-86.0890834
GAI,Montgomery County Airpark,39.1006,-77.09576
GAL,Edward G Pitka Sr,64.736178,-156.937417
GAM,Gambell Airport,63.7668,-171.733
GBN,Great Bend Municipal,38.344167,-98.859167
GCC,Gillette-Campbell County Airport,44.3489167,-105.5393611
GCK,Garden City Rgnl,37.927528,-100.724417
GCN,Grand Canyon National Park Airport,35.9523611,-112.1469722
GCW,Grand Canyon West Airport,35.5925,-113.4859
GDV,Dawson Community Airport,47.138611,-104.807222
GDW,Gladwin Zettel Memorial Airport,43.9705893,-84.47502
GED,Sussex Co,38.689194,-75.358889
GEG,Spokane Intl,47.619861,-117.533833
GEU,Glendale Municipal Airport,33.5269167,-112.2951389
GFK,Grand Forks Intl,47.949256,-97.176111
GFL,Floyd Bennett Memorial Airport,43.341222,-73.610305
GGE,Georgetown County Airport,33.3114018,-79.3203139
GGG,East Texas Rgnl,32.384014,-94.711486
