total_cup_points,species,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance
86.83,Arabica,Uganda,chebonet (23) women coffee,kabum trading company,kabum trading company,60,kg,100,kapchorwa eastern,2013,"June 26th, 2014",Kabum Trading company,SL14,Wet,8.42,8.17,8.17,8.17,7.83,7.92
86.58,Arabica,Taiwan,tsoustructive garden 鄒築園,tsoustructive garden 鄒築園,taiwan coffee laboratory,50,kg,20,"leye, alishan township, chiayi county",2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Other,8,8,8,8.25,8,8.17
86.5,Arabica,"Tanzania, United Republic Of",NA,NA,NA,60,kg,100,NA,2012,"September 3rd, 2013",Specialty Coffee-Korea,NA,Dry,8.42,8.17,8.17,8,7.58,8
86.42,Arabica,Brazil,fazenda recreio,NA,nucoffee,60,kg,29,vale da grama,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Dry,8.5,8.17,8,7.75,8,8
86.33,Arabica,Costa Rica,exclusive coffees s.a.,"exclusive coffees s.a,",exclusive coffees s.a.,2,lbs,250,west and central valley,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Wet,8.17,7.83,8,8.08,7.83,8
86.25,Arabica,Ethiopia,haider abamecha coffee plantation,faysal abamecha processing plant at yebu town,haider abamecha coffee export,60,kg,320,oromia,2014,"March 27th, 2015",Hider Abamecha,NA,Dry,8,8.08,7.92,8,8.08,8.08
86.25,Arabica,Kenya,kangunu,central kenya coffee mills,c dorman ltd,1,kg,320,muranga,2013,"May 30th, 2014",Daniel Magu,SL34,Wet,8.08,8,8,8.25,7.92,7.92
86.25,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,10,kona,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,8.08,8.17,8,7.92,7.92,7.83
86.17,Arabica,United States,la primavera,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,7.67,8.17,8,8,8.17,8.08
86.17,Arabica,Thailand,co-op #12,NA,lanna cafe,1,kg,53,chiang rai,2012,"April 12th, 2012",ITDP International,Caturra,Wet,7.83,8.33,7.83,8.25,7.58,7.92
86.08,Arabica,Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,15,kg,10,natou county,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed,8.08,8.17,7.75,8.08,7.75,7.83
86.08,Arabica,Kenya,jungle estate,nkg coffee mills,keremara limited,60,kg,12,nyeri,2014,"January 29th, 2015",Jungle Estate,SL28,Dry,8.08,8.08,8,8,7.83,8.08
86.08,Arabica,Brazil,fazenda kaquend,NA,nucoffee,60,kg,7,south of minas,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed,8.33,8,8,8,7.75,8
86,Arabica,Uganda,kaasayi,great lakes coffee,ucda,60,kg,1,eastern uganda,2014,"October 1st, 2014",Great Lakes Coffee Uganda,NA,Semi-washed,8.08,8.08,7.83,7.92,8.08,7.92
86,Arabica,Colombia,ecobio colombia,NA,lusso coffee lab,2,kg,1,tolima,2013,"March 20th, 2014",LUSSO LAB,Caturra,Wet,7.75,7.92,7.83,8.08,8.08,8.17
86,Arabica,Kenya,kianjavi,NA,lusso coffee lab,1,kg,1,kiambu,2013,"February 6th, 2014",LUSSO LAB,SL28,Wet,7.92,8.17,7.83,8.5,7.5,7.92
86,Arabica,Uganda,NA,NA,kawacom uganda ltd,60,kg,1,"sipi, mt elgon",2012,"February 13th, 2012",AFCA,Other,Wet,8.25,8,7.83,8.08,8,7.92
85.92,Arabica,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",69,kg,80,nuevo oriente,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Wet,7.92,8.08,7.92,8.08,8.08,7.83
85.92,Arabica,Uganda,sipi organic coffee project,kawacom,kawacom uganda ltd,60,kg,1,eastern,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Dry,8.17,8.17,7.92,8.08,7.83,7.75
85.92,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,275,huila,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,8,8,8,8.17,7.83,8
85.83,Arabica,Panama,la berlina estate,beneficio casa ruiz s.a.,ce specialty s.a.,60,kg,37,boquete,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Wet,8,8,7.92,8.08,7.83,8
85.83,Arabica,Ethiopia,NA,burka gudina,ibrahim hussien specality coffee product & exporter,60,kg,320,oromia,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,NA,Wet,7.83,8.08,7.92,8.08,8,7.92
85.83,Arabica,Guatemala,valparaiso,beneficio valparaiso,sertrasa,1,kg,150,acatenango,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,8,8,8.17,7.83,8
85.83,Arabica,Guatemala,finca el limon,beneficio serben,unicafe,1,kg,275,nuevo oriente,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Wet,8,8,7.83,8.33,7.83,7.83
85.75,Arabica,Ethiopia,seid damtew coffee planation,seid damtew coffee export and plantation,seid damtew coffee planation,19200,kg,320,addis ababa,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Dry,7.83,8,7.83,8.17,7.92,8
85.75,Arabica,Peru,NA,NA,sustainable harvest,5,lbs,280,cajamarca,2013,"January 22nd, 2014",Dane Loraas,NA,Wet,8,8,8,8.08,7.92,7.75
85.75,Arabica,Papua New Guinea,tairora cherry – bonta,baroida,cqi,60,kg,7,eastern highlands province,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",NA,Wet,8.33,8.42,7.83,8.33,8,8.25
85.58,Arabica,El Salvador,el majahual,j. hill y cia,atlantic specialty coffee,2,kg,275,apaneca,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Wet,7.92,8.17,8,7.92,7.75,7.83
85.58,Arabica,El Salvador,finca la esmeralda,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,1,kg,19,"ataco, apaneca - ilamatepec mountain range",2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed,7.83,8,8,7.75,7.92,8.17
85.58,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,8,kona,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.83,8,7.92,7.75,8.08,8
85.5,Arabica,Panama,elida estate,elida estate,essence coffee,60,kg,100,boquete,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Dry,8,7.75,7.83,7.83,7.67,8.58
85.5,Arabica,Kenya,inoi,inoi,essence coffee,60,kg,16,kirinyaga,2014,"May 23rd, 2015",EssenceCoffee,SL28,Dry,7.92,7.92,7.83,8.08,7.83,7.92
85.5,Arabica,Ethiopia,NA,NA,assefa belay coffee producer,60,kg,320,oromia,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Dry,7.83,8,7.83,7.92,7.83,8.08
85.5,Arabica,Uganda,buginyanya,kyagalanyi coffee ltd,kyagalanyi coffee ltd,60,kg,320,bulambuli eastern region,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Wet,8.33,7.92,7.67,7.92,7.67,7.92
85.5,Arabica,Guatemala,asoperc,beneficio exportacafe agua santa,exportcafe,69,kg,250,huehuetenango,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,8,7.83,7.67,8.33,7.83,8
85.42,Arabica,Ethiopia,NA,NA,assefa belay coffee producer,60,kg,320,oromia,2015,"March 31st, 2015",Assefa Belay Coffee Producer,NA,Wet,7.75,7.83,7.83,8.17,7.92,7.83
85.42,Arabica,Uganda,chesiyo farmer group,great lakes coffee,great lakes coffee,60,kg,150,kapchorwa,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Wet,8.08,8,7.83,7.67,8,7.83
85.42,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,8,kona,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.92,7.92,7.75,7.92,7.75,7.92
85.42,Arabica,Brazil,fazenda serra de três barras,NA,nucoffee,60,kg,5,south of minas,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed,8,8,8,7.67,7.75,8
85.33,Arabica,China,pu'er city longke coffee co.ltd,pu'er city longke coffee co.ltd,yunnan coffee exchange,60,kg,3,yunnan,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Dry,8,8,8,7.83,7.83,7.75
85.33,Arabica,Guatemala,el injerto s.a.,el injerto s.a.,essence coffee,30,kg,36,huehuetenango,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Dry,7.83,7.75,7.83,7.67,7.83,8.58
85.33,Arabica,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,3,lbs,250,west valley,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Wet,7.92,8.08,8,7.92,8,8.08
85.33,Arabica,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,3,lbs,250,san ramon,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Wet,8,7.58,7.58,7.67,8.08,8.5
85.33,Arabica,Kenya,NA,NA,rashid moledina & co. (msa) ltd,60,kg,20,central kenya,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Wet,7.83,8.08,7.75,8.08,7.92,7.75
85.33,Arabica,Kenya,NA,nkg/ck/hc/ss/kccm,ibero kenya limited,60,kg,300,central kenya,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Wet,8,7.92,7.92,8.08,7.83,7.75
85.25,Arabica,Colombia,various,trilladora agricola,exportadora de cafe condor s.a,70,kg,275,santander,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Wet,8.17,7.92,7.83,8,7.58,7.83
85.25,Arabica,Colombia,NA,trilladora boananza,ecom cca sa,70,kg,250,santander,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Dry,7.58,8.08,7.92,7.83,8,7.92
85.17,Arabica,Indonesia,NA,NA,"nomura trading co., ltd.",60,kg,54,lintong,2012,"November 26th, 2012","Nomura Trading Co., Ltd.",Sumatra Lintong,Semi-washed,7.75,7.83,7.67,8,8.08,7.83
85.17,Arabica,Guatemala,coop. hoja blanca - fedecocagua,coop. hoja blanca - fedecocagua,the coffee source inc.,1,kg,250,huehuetenango,2012,"January 18th, 2012",The Coffee Source Inc.,Caturra,Wet,8.25,8,7.67,7.92,7.75,7.67
85.08,Arabica,Ethiopia,seid damtew coffee planation,at site and addis ababa,seid damtew coffee planation,19200,kg,320,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,"August 9th, 2016",SEID DAMTEW COFFEE PLANATAION,Other,Dry,7.75,8,7.58,8,8,7.92
85.08,Arabica,Colombia,NA,pasto,carcafe ltda,70,kg,250,pasto,2015,"August 18th, 2015",CARCAFE LTDA CI,Caturra,Dry,8.17,7.83,7.58,8.08,8,7.75
85.08,Arabica,Ethiopia,aricha coop,aricha coop,the specialty coffee appraisers institute of asia,60,kg,100,aricha,2014,"October 7th, 2014",Steven Kil,NA,Dry,8.42,8,7.42,8,7.92,7.92
85.08,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,12,kona,2014,"March 10th, 2014",Eileen Koyanagi,Hawaiian Kona,Dry,7.58,7.83,7.83,7.92,7.83,8.17
85.08,Arabica,Colombia,NA,NA,carcafe ltda,70,kg,250,cundinamarca,2012,"March 16th, 2012",CARCAFE LTDA CI,Caturra,Dry,7.83,8,7.75,7.75,7.83,7.83
85,Arabica,Uganda,mount elgon area,kyagalanyi coffee ltd,kyagalanyi coffee ltd,60,kg,200,eastern uganda,2016,"July 24th, 2017",Kyagalanyi Coffee Ltd,SL14,Wet,8.17,7.92,7.75,7.75,7.67,7.75
85,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,135,huila,2016,"February 15th, 2017",Racafe & Cia S.C.A,Caturra,Wet,8,7.92,7.75,7.92,7.75,7.83
85,Arabica,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,46,kg,36,tarrazu,2016,"January 30th, 2017",Troy Quimby,Catuai,Wet,7.83,8,7.58,7.92,7.92,7.83
85,Arabica,Mexico,various,"cafetal el equimite, rancho agroecológico","cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",30,kg,1,veracruz,2015,"September 21st, 2016","El Equimite, Cafetal Biodinámico",Typica,Wet,7.83,8,7.83,7.75,7.67,7.83
85,Arabica,Kenya,NA,ckcm,c dorman ltd,60,kg,170,NA,2015,"May 7th, 2016",SIMON MAHINDA,NA,Wet,8.17,7.83,7.92,7.75,7.67,7.83
85,Arabica,Kenya,machure estate,NA,rashid moledina & co. (msa) ltd,60,kg,38,central kenya,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Wet,7.75,7.83,7.75,8.08,8,7.75
85,Arabica,Brazil,sitío são geraldo,NA,nucoffee,60,kg,31,grama valley,2012,"February 29th, 2012",NUCOFFEE,Mundo Novo,Dry,8,8,7.83,7.83,7.67,7.67
84.92,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,243,huila,2016,"November 25th, 2016",Racafe & Cia S.C.A,Caturra,Wet,7.92,7.92,7.67,7.83,7.92,7.83
84.92,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,252,huila,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Wet,7.92,7.83,7.75,7.83,7.75,8
84.92,Arabica,Taiwan,baishengcun coffee 百勝村咖啡莊園,baishengcun coffee 百勝村咖啡莊園,taiwan coffee laboratory,40,kg,20,natou county,2015,"June 9th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Semi-washed,7.67,7.83,8,7.58,8,7.92
84.92,Arabica,"Tanzania, United Republic Of",hasambo amcos,taylor winch (t) ltd,taylor winch (t) ltd,60,kg,134,mbeya,2014,"December 12th, 2014",Taylor Winch (T) Ltd,Other,Wet,8,7.83,7.83,7.92,7.75,7.75
84.92,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,50,huila,2012,"December 11th, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.75,7.92,7.83,7.75,7.75,8
84.92,Arabica,Mexico,el suspiro,pacho viejo,NA,1,kg,25,coatepec,2012,"July 11th, 2012",ARTEMIO ZAPATA TEJEDA,Typica,Semi-washed,7.75,8,7.75,7.83,7.5,7.92
84.92,Arabica,Brazil,fazenda grota funda,NA,nucoffee,60,kg,4,south of minas,2011,"December 23rd, 2011",NUCOFFEE,Bourbon,Dry,8,7.92,7.75,7.75,8,7.75
84.92,Arabica,Brazil,sitio claro,NA,nucoffee,60,kg,10,south of minas,2011,"December 3rd, 2011",NUCOFFEE,Catuai,Dry,8,8,7.75,8,7.5,7.75
84.83,Arabica,Taiwan,shi fang yuan 十方源,shi fang yuan 十方源,taiwan coffee laboratory,20,kg,10,"dongshan dist., tainan city 臺南市東山區",2016,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Dry,7.92,7.58,7.83,7.83,7.83,7.83
84.83,Arabica,Uganda,mt.elgon bugisu shamba 2,kawacom,kawacom uganda ltd,60,kg,1,eastern,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Dry,7.75,7.92,7.67,7.67,8.25,7.75
84.83,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,14,kona,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.67,7.75,7.75,7.75,7.83,8
84.75,Arabica,Thailand,matsuzawa coffee,matsuzawa coffee,matsuzawa coffee,50,kg,50,thailand,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Caturra,Other,7.75,7.75,7.75,7.75,8,7.75
84.75,Arabica,Kenya,karatina,sagana,c dorman ltd,60,kg,150,nyeri,2014,"June 2nd, 2015",Lydiah Mwangi,SL34,Wet,7.92,7.83,7.58,7.92,7.75,7.83
84.75,Arabica,Honduras,cerro bueno,cadexsa,cadexsa,1,kg,275,marcala,2014,"April 25th, 2014",CADEXSA,Catuai,Wet,7.83,7.75,8,7.67,7.67,7.67
84.67,Arabica,El Salvador,monterrey,j.j. borja nathan,cafetalera del pacifico,69,kg,150,apaneca,2016,"June 26th, 2017",Consejo Salvadoreño del Café,Bourbon,Wet,7.83,7.83,7.5,8,7.83,7.67
84.67,Arabica,Indonesia,sran temanggung plantation,wet hulling,pt. shriya artha nusantara,1,kg,2,"temanggung, indonesia",2016,"November 24th, 2016",SanJava Coffee,Java,Wet,7.92,7.83,7.75,7.75,7.75,7.75
84.67,Arabica,Japan,ada farm,ada farm,matsuzawa coffee,1,kg,20,ada okinawa japan,NA,"November 2nd, 2016",松澤宏樹 Koju Matsuzawa,Mundo Novo,Other,7.75,7.75,7.75,7.42,8.08,7.83
84.67,Arabica,Costa Rica,rio jorco,rio jorco,panamerican coffee trading,69,kg,15,tarrazu,2015,"October 4th, 2016",Rodrigo Soto,Catuai,Wet,8.08,7.75,7.67,7.83,7.5,7.92
84.67,Arabica,Guatemala,san diego buena vista,san diego buena vista,"waelti schoenfeld exportadores de cafe, s.a.",34,kg,120,acatenango,2015,"June 1st, 2016",Juan Luis Alvarado Romero,Bourbon,Wet,7.75,7.83,7.58,8,7.92,7.75
84.67,Arabica,Costa Rica,coopetarrazú,coopetarrazú,coopetarrazú.r.l,1,lbs,50,tarrazu,2014,"July 6th, 2015",Fabian Calderon Mora,Caturra,Wet,8.17,8,7.83,7.17,7.83,7.75
84.67,Arabica,Ethiopia,moplaco,moplaco,essence coffee,30,kg,250,yirgacheffe,2014,"May 23rd, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Wet,8.08,7.83,7.75,7.83,7.58,7.67
84.67,Arabica,Costa Rica,finca salaca las brisas,beneficio las brisas,essence coffee,69,kg,20,costa rica,2014,"May 23rd, 2015",EssenceCoffee,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58
84.67,Arabica,Costa Rica,various,coricafe sa,coricafe s.a.,1,kg,275,west valley,2014,"March 5th, 2014",Eric Thormaehlen,Catuai,Wet,8,7.58,7.83,7.75,7.75,7.75
84.67,Arabica,Costa Rica,NA,NA,thrive farmers,2,kg,1,NA,2012,"January 3rd, 2014",Rob Tuttle,NA,Wet,8.08,7.83,7.75,7.83,7.92,8
84.67,Arabica,Taiwan,dragon 龍咖啡,dragon coffee 龍咖,blossom valley宸嶧國際,30,kg,10,taichung xinshe 台中市新社區,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Wet,8,7.92,7.75,7.75,7.75,7.75
84.67,Arabica,Colombia,NA,trilladora agricola,ecom cca sa,70,kg,250,santander,2013,"December 20th, 2013",Compañia Colombiana Agroindustrial S.A,Caturra,Wet,7.75,7.83,7.75,7.83,7.75,7.83
84.67,Arabica,Kenya,NA,NA,dream together inc.,60,kg,235,nyeri,2012,"September 16th, 2012",Dream Together,SL28,Wet,7.75,7.92,7.83,8,7.58,7.75
84.67,Arabica,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",1,kg,250,oriente,2012,"July 17th, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,8,7.83,7.67,7.83,7.67,8
84.67,Arabica,Guatemala,valparaiso,beneficio valparaiso,sertrasa,1,kg,125,acatenango,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.83,7.67,8,7.67,7.83
84.67,Arabica,Mexico,"el nogal, la higuera, los laureles",cafetaleros de el remudadero s.p.r. de r.l.,organizaciones de productores de cafe colimense sa de cv,1,kg,80,el remudadero,2012,"July 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Wet,7.83,7.58,7.67,7.92,7.92,7.83
84.67,Arabica,Uganda,NA,ugacof,ugacof ltd,60,kg,320,mbale,2012,"February 13th, 2012",AFCA,Other,Wet,7.92,7.83,7.75,7.92,7.67,7.75
84.58,Arabica,Kenya,jungle estate,nkg mills,keremara limited,60,kg,66,nyeri,NA,"January 11th, 2018",Jungle Estate,SL34,Wet,7.92,7.75,7.83,7.75,7.58,7.92
84.58,Arabica,Colombia,NA,bucaramanga,racafe & cia s.c.a,70,kg,250,santander,2016,"January 10th, 2017",Racafe & Cia S.C.A,Other,Wet,7.83,7.67,7.58,7.92,7.67,7.83
84.58,Arabica,Colombia,NA,bachue,racafe & cia s.c.a,70,kg,125,huila,2016,"December 28th, 2016",Racafe & Cia S.C.A,Caturra,Wet,7.92,7.83,7.58,8,7.83,7.67
84.58,Arabica,Kenya,blend,sagana,c dorman ltd,60,kg,100,nyeri,2013,"July 21st, 2014",Daniel Magu,Peaberry,Wet,7.83,7.83,7.83,7.75,7.58,7.83
84.58,Arabica,Guatemala,el morito,el morito,"armajaro guatemala, s. a.",69,kg,250,jalapa,2014,"May 29th, 2014",Juan Luis Alvarado Romero,Pacas,Wet,7.75,7.83,7.67,7.92,7.75,7.83
84.58,Arabica,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2014,"March 24th, 2014",Juan Luis Alvarado Romero,Bourbon,Wet,8,7.92,7.67,7.58,7.58,7.67
84.58,Arabica,Colombia,NA,trilladora agricola,ecom cca sa,70,kg,250,santander,2013,"December 20th, 2013",Compañia Colombiana Agroindustrial S.A,Caturra,Wet,7.67,7.67,7.58,7.75,7.58,8.5
84.58,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,75,huila,2013,"December 6th, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.75,7.75,7.83,7.75,7.58,8
84.58,Arabica,Kenya,NA,NA,taylor winch (coffee) ltd,660,kg,11,NA,2013,"August 30th, 2013",Taylor Winch (Coffee) Ltd.,SL28,Wet,7.75,7.75,7.75,8.08,7.75,7.75
84.58,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2012,"July 17th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.67,7.83,7.83,8,7.58,7.92
84.58,Arabica,Costa Rica,la chaparral,NA,lusso coffee lab,1,kg,1,tres rios,2012,"March 12th, 2013",LUSSO LAB,Bourbon,Semi-washed,7.75,7.83,7.75,8,7.83,7.67
84.58,Arabica,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2012,"October 9th, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.42,7.67,7.75,7.75,8.08,7.83
84.58,Arabica,Brazil,fazenda recreio,NA,nucoffee,60,kg,37,vale da grama,2011,"December 23rd, 2011",NUCOFFEE,Bourbon,Semi-washed,8,8,7.75,7.75,7.58,7.75
84.58,Arabica,Brazil,fazenda vista alegre,NA,nucoffee,60,kg,35,mountains of minas gerais,2011,"December 3rd, 2011",NUCOFFEE,Catuai,Semi-washed,8.5,8,7.5,7.75,7.5,7.83
84.5,Arabica,Costa Rica,NA,beneficio santo domingo - beneficio dosmil,beneficios volcafé costa rica,18975,kg,275,valle central,2017 / 2018,"November 28th, 2017",Max Gurdian,Caturra,Wet,7.92,7.67,7.92,7.75,7.67,7.58
84.5,Arabica,Uganda,kawacom sipi project,kawacom,kawacom uganda ltd,12000,kg,200,eastern uganda,2016,"March 14th, 2017",ECOM Japan Limited,SL14,Wet,7.92,7.75,7.67,7.75,7.83,7.75
