Date,season,holiday
29/08/2018,Summer,No Holiday
30/08/2018,Summer,No Holiday
31/08/2018,Summer,No Holiday
1/9/18,Autumn,No Holiday
2/9/18,Autumn,No Holiday
3/9/18,Autumn,No Holiday
4/9/18,Autumn,No Holiday
5/9/18,Autumn,No Holiday
6/9/18,Autumn,No Holiday
7/9/18,Autumn,No Holiday
8/9/18,Autumn,No Holiday
9/9/18,Autumn,No Holiday
10/9/18,Autumn,No Holiday
11/9/18,Autumn,No Holiday
12/9/18,Autumn,No Holiday
13/09/2018,Autumn,No Holiday
14/09/2018,Autumn,No Holiday
15/09/2018,Autumn,No Holiday
16/09/2018,Autumn,No Holiday
17/09/2018,Autumn,No Holiday
18/09/2018,Autumn,No Holiday
19/09/2018,Autumn,No Holiday
20/09/2018,Autumn,No Holiday
21/09/2018,Autumn,No Holiday
22/09/2018,Autumn,No Holiday
23/09/2018,Autumn,Holiday
24/09/2018,Autumn,Holiday
25/09/2018,Autumn,Holiday
26/09/2018,Autumn,No Holiday
27/09/2018,Autumn,No Holiday
28/09/2018,Autumn,No Holiday
29/09/2018,Autumn,No Holiday
30/09/2018,Autumn,No Holiday
1/10/18,Autumn,No Holiday
2/10/18,Autumn,No Holiday
3/10/18,Autumn,Holiday
4/10/18,Autumn,No Holiday
5/10/18,Autumn,No Holiday
6/10/18,Autumn,No Holiday
7/10/18,Autumn,No Holiday
8/10/18,Autumn,No Holiday
9/10/18,Autumn,Holiday
10/10/18,Autumn,No Holiday
11/10/18,Autumn,No Holiday
12/10/18,Autumn,No Holiday
13/10/2018,Autumn,No Holiday
14/10/2018,Autumn,No Holiday
15/10/2018,Autumn,No Holiday
16/10/2018,Autumn,No Holiday
17/10/2018,Autumn,No Holiday
18/10/2018,Autumn,No Holiday
19/10/2018,Autumn,No Holiday
20/10/2018,Autumn,No Holiday
21/10/2018,Autumn,No Holiday
22/10/2018,Autumn,No Holiday
23/10/2018,Autumn,No Holiday
24/10/2018,Autumn,No Holiday
25/10/2018,Autumn,No Holiday
26/10/2018,Autumn,No Holiday
27/10/2018,Autumn,No Holiday
28/10/2018,Autumn,No Holiday
29/10/2018,Autumn,No Holiday
30/10/2018,Autumn,No Holiday
31/10/2018,Autumn,No Holiday
1/11/18,Autumn,No Holiday
2/11/18,Autumn,No Holiday
3/11/18,Autumn,No Holiday
4/11/18,Autumn,No Holiday
5/11/18,Autumn,No Holiday
6/11/18,Autumn,No Holiday
7/11/18,Autumn,No Holiday
8/11/18,Autumn,No Holiday
9/11/18,Autumn,No Holiday
10/11/18,Autumn,No Holiday
11/11/18,Autumn,No Holiday
12/11/18,Autumn,No Holiday
13/11/2018,Autumn,No Holiday
14/11/2018,Autumn,No Holiday
15/11/2018,Autumn,No Holiday
16/11/2018,Autumn,No Holiday
17/11/2018,Autumn,No Holiday
18/11/2018,Autumn,No Holiday
19/11/2018,Autumn,No Holiday
20/11/2018,Autumn,No Holiday
21/11/2018,Autumn,No Holiday
22/11/2018,Autumn,No Holiday
23/11/2018,Autumn,No Holiday
24/11/2018,Autumn,No Holiday
25/11/2018,Autumn,No Holiday
26/11/2018,Autumn,No Holiday
27/11/2018,Autumn,No Holiday
28/11/2018,Autumn,No Holiday
29/11/2018,Autumn,No Holiday
30/11/2018,Autumn,No Holiday
